H_boundary,start_M,known_n,hidden_k,cert_base,L_min,L_offset,L_cert,decimal_digits_used_for_cert,prefix_preview,true_hidden,true_full_preview,q_cell_C_digits,decimal_range_width,prefix_condition_range_width,candidate_count_after_prefix,recovered_hidden,success,ambiguous,Amin_minus_prefix_low,Amax_minus_prefix_low,candidate_low_minus_prefix_low,candidate_high_minus_prefix_low
50000,49900,100,10,16,92,0,92,171,112718106910522900246574236041,3009369188,15840522953693749971...65742360413009369188,110,2,10000000000,2,,False,True,3009369188,3009369189,3009369188,3009369189
100000,99900,100,10,16,92,0,92,171,712790913767420805655493624646,4126002437,85750163634113146275...54936246464126002437,111,2,10000000000,2,,False,True,4126002437,4126002438,4126002437,4126002438
500000,499900,100,10,16,92,0,92,171,193325290740424876025138195242,6973910175,53416523703165307043...51381952426973910175,111,1,10000000000,1,6973910175,True,False,6973910175,6973910175,6973910175,6973910175
1000000,999900,100,10,16,92,0,92,171,996346460422090106105779458151,3092756283,03156140333212728491...57794581513092756283,110,1,10000000000,1,3092756283,True,False,3092756283,3092756283,3092756283,3092756283
1500000,1499900,100,10,16,92,0,92,171,794715117319607737991914462295,2443520595,12975442171058259092...19144622952443520595,110,2,10000000000,2,,False,True,2443520594,2443520595,2443520594,2443520595
10000,9900,100,10,16,92,2,94,174,959688159205600101655256375678,5667227966,26456001623742880210...52563756785667227966,113,1,10000000000,1,5667227966,True,False,5667227966,5667227966,5667227966,5667227966
50000,49900,100,10,16,92,2,94,174,112718106910522900246574236041,3009369188,15840522953693749971...65742360413009369188,113,1,10000000000,1,3009369188,True,False,3009369188,3009369188,3009369188,3009369188
100000,99900,100,10,16,92,2,94,174,712790913767420805655493624646,4126002437,85750163634113146275...54936246464126002437,114,1,10000000000,1,4126002437,True,False,4126002437,4126002437,4126002437,4126002437
500000,499900,100,10,16,92,2,94,174,193325290740424876025138195242,6973910175,53416523703165307043...51381952426973910175,113,1,10000000000,1,6973910175,True,False,6973910175,6973910175,6973910175,6973910175
1000000,999900,100,10,16,92,2,94,174,996346460422090106105779458151,3092756283,03156140333212728491...57794581513092756283,112,1,10000000000,1,3092756283,True,False,3092756283,3092756283,3092756283,3092756283
1500000,1499900,100,10,16,92,2,94,174,794715117319607737991914462295,2443520595,12975442171058259092...19144622952443520595,113,1,10000000000,1,2443520595,True,False,2443520595,2443520595,2443520595,2443520595
10000,9900,100,10,16,92,8,100,181,959688159205600101655256375678,5667227966,26456001623742880210...52563756785667227966,120,1,10000000000,1,5667227966,True,False,5667227966,5667227966,5667227966,5667227966
50000,49900,100,10,16,92,8,100,181,112718106910522900246574236041,3009369188,15840522953693749971...65742360413009369188,120,1,10000000000,1,3009369188,True,False,3009369188,3009369188,3009369188,3009369188
100000,99900,100,10,16,92,8,100,181,712790913767420805655493624646,4126002437,85750163634113146275...54936246464126002437,121,1,10000000000,1,4126002437,True,False,4126002437,4126002437,4126002437,4126002437
500000,499900,100,10,16,92,8,100,181,193325290740424876025138195242,6973910175,53416523703165307043...51381952426973910175,121,1,10000000000,1,6973910175,True,False,6973910175,6973910175,6973910175,6973910175
1000000,999900,100,10,16,92,8,100,181,996346460422090106105779458151,3092756283,03156140333212728491...57794581513092756283,119,1,10000000000,1,3092756283,True,False,3092756283,3092756283,3092756283,3092756283
1500000,1499900,100,10,16,92,8,100,181,794715117319607737991914462295,2443520595,12975442171058259092...19144622952443520595,120,1,10000000000,1,2443520595,True,False,2443520595,2443520595,2443520595,2443520595
